Pos.,No.,Driver,Team,Time,Gap,Grid
1,3,George Russell,ART Grand Prix,1:54.751,,1
2,6,Leonardo Pulcini,Arden International,1:55.073,+0.322,2
3,5,Niko Kari,Arden International,1:55.157,+0.406,3
4,14,Dan Ticktum,DAMS,1:55.289,+0.538,4
5,24,Arjun Maini,Jenzer Motorsport,1:55.466,+0.715,5
6,2,Nirei Fukuzumi,ART Grand Prix,1:55.484,+0.733,6
7,12,Dorian Boccolacci,Trident,1:55.533,+0.782,7
8,27,Raoul Hyman,Campos Racing,1:55.583,+0.832,8
9,4,Anthoine Hubert,ART Grand Prix,1:55.594,+0.843,9
10,22,Alessio Lorandi,Jenzer Motorsport,1:55.605,+0.854,10
11,7,Steijn Schothorst,Arden International,1:55.610,+0.859,11
12,11,Ryan Tveter,Trident,1:55.684,+0.933,12
13,15,Tatiana Calderon,DAMS,1:55.772,+1.021,13
14,9,Kevin Jörg,Trident,1:55.774,+1.023,14
15,1,Jack Aitken,ART Grand Prix,1:55.823,+1.072,15
16,10,Giuliano Alesi,Trident,1:55.909,+1.158,16
17,16,Bruno Baptista,DAMS,1:56.088,+1.337,17
18,28,Marcos Siebert,Campos Racing,1:56.485,+1.734,18
19,23,Juan Manuel Correa,Jenzer Motorsport,1:56.597,+1.846,19
20,26,Julien Falchero,Campos Racing,1:57.015,+2.264,20
