Pos.,No.,Driver,Team,Time,Gap,Grid
1,8,David Beckmann,Trident,1:37.959,,1
2,2,Anthoine Hubert,ART Grand Prix,1:37.970,+0.011,2
3,18,Leonardo Pulcini,Campos Racing,1:38.158,+0.199,3
4,10,Juan Manuel Correa,Jenzer Motorsport,1:38.181,+0.222,4
5,6,Giuliano Alesi,Trident,1:38.203,+0.244,5
6,1,Callum Ilott,ART Grand Prix,1:38.255,+0.296,6
7,7,Ryan Tveter,Trident,1:38.289,+0.330,7
8,9,Tatiana Calderón,Jenzer Motorsport,1:38.333,+0.374,8
9,5,Pedro Piquet,Trident,1:38.408,+0.449,9
10,24,Niko Kari,MP Motorsport,1:38.487,+0.528,10
11,3,Nikita Mazepin,ART Grand Prix,1:38.586,+0.627,12
12,4,Jake Hughes,ART Grand Prix,1:38.620,+0.661,12
13,11,Jannes Fittje,Jenzer Motorsport,1:38.748,+0.789,20
14,19,Simo Laaksonen,Campos Racing,1:38.850,+0.891,13
15,16,Joey Mawson,Arden International,1:38.896,+0.937,14
16,22,Richard Verschoor,MP Motorsport,1:38.965,+1.006,15
17,14,Gabriel Aubry,Arden International,1:39.035,+1.076,16
18,20,Diego Menchaca,Campos Racing,1:39.049,+1.090,17
19,15,Julien Falchero,Arden International,1:39.109,+1.150,18
20,23,Devlin DeFrancesco,MP Motorsport,1:39.635,+1.676,19
