Pos.,No.,Driver,Team,Time,Grid
1,3,Alexander Albon,ART Grand Prix,1:28.431,1
2,1,Charles Leclerc,ART Grand Prix,1:28.509,5
3,9,Jake Dennis,Arden International,1:28.518,2
4,4,Nyck de Vries,ART Grand Prix,1:28.524,3
5,5,Antonio Fuoco,Trident,1:28.618,4
6,14,Matt Parry,Koiranen GP,1:28.638,6
7,2,Nirei Fukuzumi,ART Grand Prix,1:28.662,7
8,22,Álex Palou,Campos Racing,1:28.838,8
9,23,Steijn Schothorst,Campos Racing,1:28.918,9
10,11,Jack Aitken,Arden International,1:28.935,10
11,8,Sandy Stuvik,Trident,1:28.944,11
12,27,Jake Hughes,DAMS,1:29.052,12
13,20,Arjun Maini,Jenzer Motorsport,1:29.076,13
14,24,Konstantin Tereshchenko,Campos Racing,1:29.107,14
15,17,Ralph Boschung,Koiranen GP,1:29.126,15
16,7,Giuliano Alesi,Trident,1:29.301,16
17,26,Santino Ferrucci,DAMS,1:29.311,17
18,6,Artur Janosz,Trident,1:29.383,18
19,28,Kevin Jörg,DAMS,1:29.542,19
20,16,Matevos Isaakyan,Koiranen GP,1:29.665,20
21,18,Akash Nandy,Jenzer Motorsport,1:29.847,21
22,10,Tatiana Calderón,Arden International,1:29.895,22
