Pos.,No.,Driver,Team,Time,Grid
1,21,Pierre Gasly,Prema Racing,1:42.181,1
2,20,Antonio Giovinazzi,Prema Racing,1:42.263,2
3,9,Raffaele Marciello,Russian Time,1:42.526,3
4,2,Sergey Sirotkin,ART Grand Prix,1:42.528,4
5,1,Nobuharu Matsushita,ART Grand Prix,1:42.623,5
6,5,Alex Lynn,DAMS,1:42.775,6
7,3,Norman Nato,Racing Engineering,1:42.800,7
8,4,Jordan King,Racing Engineering,1:42.851,8
9,22,Oliver Rowland,MP Motorsport,1:42.902,9
10,10,Artem Markelov,Russian Time,1:42.934,10
11,15,Luca Ghiotto,Trident,1:42.934,11
12,6,Nicholas Latifi,DAMS,1:43.130,12
13,11,Gustav Malja,Rapax,1:43.224,13
14,19,Marvin Kirchhöfer,Carlin,1:43.290,14
15,12,Johnny Cecotto Jr.,Rapax,1:43.385,15
16,7,Mitch Evans,Campos Racing,1:43.606,16
17,24,Nabil Jeffri,Arden International,1:43.761,17
18,23,Daniël de Jong,MP Motorsport,1:43.965,18
19,18,Sergio Canamasas,Carlin,1:43.977,19
20,8,Sean Gelael,Campos Racing,1:44.087,20
21,14,Philo Paz Armand,Trident,1:44.578,21
