Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:24.585,1:23.082,1:22.868,11
2,77,Valtteri Bottas,Mercedes,1:25.047,1:23.579,1:22.998,1
3,33,Max Verstappen,Red Bull Racing-Honda,1:24.592,1:23.732,1:23.196,2
4,16,Charles Leclerc,Ferrari,1:24.869,1:24.015,1:23.265,3
5,10,Pierre Gasly,AlphaTauri-Honda,1:24.704,1:23.817,1:23.326,4
6,14,Fernando Alonso,Alpine-Renault,1:25.174,1:23.914,1:23.477,5
7,11,Sergio Pérez,Red Bull Racing-Honda,1:24.963,1:23.961,1:23.706,6
8,4,Lando Norris,McLaren-Mercedes,1:25.138,1:24.642,1:23.954,7
9,18,Lance Stroll,Aston Martin-Mercedes,1:25.511,1:24.601,1:24.305,8
10,22,Yuki Tsunoda,AlphaTauri-Honda,1:25.409,1:24.054,1:24.368,9
11,5,Sebastian Vettel,Aston Martin-Mercedes,1:25.787,1:24.795,N/A,10
12,31,Esteban Ocon,Alpine-Renault,1:25.422,1:24.842,N/A,12
13,63,George Russell,Williams-Mercedes,1:25.417,1:25.007,N/A,13
14,47,Mick Schumacher,Haas-Ferrari,1:25.555,1:25.200,N/A,14
15,55,Carlos Sainz Jr.,Ferrari,1:25.177,No time,N/A,19
16,3,Daniel Ricciardo,McLaren-Mercedes,1:25.881,N/A,N/A,20
17,6,Nicholas Latifi,Williams-Mercedes,1:26.086,N/A,N/A,15
18,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:26.430,N/A,N/A,16
19,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:27.525,N/A,N/A,17
20,9,Nikita Mazepin,Haas-Ferrari,1:28.449,N/A,N/A,18
