Pos.,No.,Driver,Team,Time,Grid
1,2,Oscar Piastri,Prema Racing,1:35.077,1
2,11,Jack Doohan,MP Motorsport,1:35.290,2
3,3,Guanyu Zhou,UNI-Virtuosi,1:35.348,3
4,1,Robert Shwartzman,Prema Racing,1:35.360,4
5,21,Ralph Boschung,Campos Racing,1:35.496,5
6,10,Théo Pourchaire,ART Grand Prix,1:35.504,6
7,7,Liam Lawson,Hitech Grand Prix,1:35.511,7
8,4,Felipe Drugovich,UNI-Virtuosi,1:35.612,8
9,5,Dan Ticktum,Carlin,1:35.618,9
10,6,Jehan Daruvala,Carlin,1:35.821,10
11,17,Marcus Armstrong,DAMS,1:35.855,11
12,9,Christian Lundgaard,ART Grand Prix,1:36.016,12
13,16,Roy Nissany,DAMS,1:36.080,13
14,25,Marino Sato,Trident,1:36.241,14
15,8,Jüri Vips,Hitech Grand Prix,1:36.282,15
16,14,Richard Verschoor,Charouz Racing System,1:36.293,16
17,24,Bent Viscaal,Trident,1:36.312,17
18,22,Jake Hughes,HWA Racelab,1:36.462,18
19,20,Olli Caldwell,Campos Racing,1:36.570,19
20,12,Clément Novalak,MP Motorsport,1:36.722,20
21,15,Guilherme Samaia,Charouz Racing System,1:36.741,21
22,23,Alessio Deledda,HWA Racelab,1:38.657,22
